,league,side,teamname,result,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
37618,LCS,Blue,Evil Geniuses,1,24297.0,30742.0,532.0,27185.0,31545.0,528.0,-2888.0,-803.0,4.0,4.0,5.0,7.0,7.0,16.0,4.0
37619,LCS,Red,Golden Guardians,0,27185.0,31545.0,528.0,24297.0,30742.0,532.0,2888.0,803.0,-4.0,7.0,16.0,4.0,4.0,5.0,7.0
37642,LCS,Blue,Dignitas,0,25487.0,29255.0,506.0,22210.0,27318.0,496.0,3277.0,1937.0,10.0,5.0,11.0,1.0,1.0,1.0,5.0
37643,LCS,Red,Counter Logic Gaming,1,22210.0,27318.0,496.0,25487.0,29255.0,506.0,-3277.0,-1937.0,-10.0,1.0,1.0,5.0,5.0,11.0,1.0
37762,LPL,Blue,Rogue Warriors,0,25391.0,29181.0,471.0,25575.0,30512.0,554.0,-184.0,-1331.0,-83.0,4.0,10.0,1.0,1.0,2.0,4.0
37763,LPL,Red,EDward Gaming,1,25575.0,30512.0,554.0,25391.0,29181.0,471.0,184.0,1331.0,83.0,1.0,2.0,4.0,4.0,10.0,1.0
37810,LPL,Blue,Rogue Warriors,0,24445.0,30161.0,536.0,26547.0,30712.0,560.0,-2102.0,-551.0,-24.0,3.0,7.0,3.0,3.0,8.0,3.0
37811,LPL,Red,EDward Gaming,1,26547.0,30712.0,560.0,24445.0,30161.0,536.0,2102.0,551.0,24.0,3.0,8.0,3.0,3.0,7.0,3.0
37858,LPL,Blue,FunPlus Phoenix,1,26430.0,30628.0,571.0,24373.0,29334.0,523.0,2057.0,1294.0,48.0,1.0,3.0,1.0,1.0,2.0,1.0
37859,LPL,Red,JD Gaming,0,24373.0,29334.0,523.0,26430.0,30628.0,571.0,-2057.0,-1294.0,-48.0,1.0,2.0,1.0,1.0,3.0,1.0
37882,LPL,Blue,JD Gaming,0,24872.0,30846.0,533.0,26798.0,32264.0,541.0,-1926.0,-1418.0,-8.0,3.0,4.0,7.0,7.0,7.0,3.0
37883,LPL,Red,FunPlus Phoenix,1,26798.0,32264.0,541.0,24872.0,30846.0,533.0,1926.0,1418.0,8.0,7.0,7.0,3.0,3.0,4.0,7.0
38398,LPL,Blue,Suning,1,26791.0,31608.0,578.0,25816.0,30596.0,524.0,975.0,1012.0,54.0,5.0,6.0,5.0,5.0,7.0,5.0
38399,LPL,Red,ThunderTalk Gaming,0,25816.0,30596.0,524.0,26791.0,31608.0,578.0,-975.0,-1012.0,-54.0,5.0,7.0,5.0,5.0,6.0,5.0
38422,LPL,Blue,ThunderTalk Gaming,0,22589.0,28741.0,483.0,30588.0,33977.0,569.0,-7999.0,-5236.0,-86.0,0.0,0.0,8.0,8.0,6.0,0.0
38423,LPL,Red,Suning,1,30588.0,33977.0,569.0,22589.0,28741.0,483.0,7999.0,5236.0,86.0,8.0,6.0,0.0,0.0,0.0,8.0
38446,LPL,Blue,Bilibili Gaming,0,25140.0,30274.0,514.0,24983.0,30757.0,563.0,157.0,-483.0,-49.0,3.0,10.0,3.0,3.0,7.0,3.0
38447,LPL,Red,Invictus Gaming,1,24983.0,30757.0,563.0,25140.0,30274.0,514.0,-157.0,483.0,49.0,3.0,7.0,3.0,3.0,10.0,3.0
38470,LPL,Blue,Bilibili Gaming,0,24348.0,30710.0,513.0,25496.0,30829.0,534.0,-1148.0,-119.0,-21.0,4.0,6.0,5.0,5.0,8.0,4.0
38471,LPL,Red,Invictus Gaming,1,25496.0,30829.0,534.0,24348.0,30710.0,513.0,1148.0,119.0,21.0,5.0,8.0,4.0,4.0,6.0,5.0
39082,LPL,Blue,eStar,0,25284.0,31512.0,565.0,26646.0,32308.0,596.0,-1362.0,-796.0,-31.0,3.0,5.0,3.0,3.0,6.0,3.0
39083,LPL,Red,Rare Atom,1,26646.0,32308.0,596.0,25284.0,31512.0,565.0,1362.0,796.0,31.0,3.0,6.0,3.0,3.0,5.0,3.0
39130,LPL,Blue,Rare Atom,1,23548.0,29515.0,559.0,26724.0,31455.0,543.0,-3176.0,-1940.0,16.0,0.0,0.0,5.0,5.0,9.0,0.0
39131,LPL,Red,eStar,0,26724.0,31455.0,543.0,23548.0,29515.0,559.0,3176.0,1940.0,-16.0,5.0,9.0,0.0,0.0,0.0,5.0
39166,LPL,Blue,LGD Gaming,0,23862.0,29193.0,490.0,28320.0,33799.0,568.0,-4458.0,-4606.0,-78.0,2.0,3.0,8.0,8.0,9.0,2.0
39167,LPL,Red,Team WE,1,28320.0,33799.0,568.0,23862.0,29193.0,490.0,4458.0,4606.0,78.0,8.0,9.0,2.0,2.0,3.0,8.0
39178,LPL,Blue,Team WE,1,28716.0,32422.0,544.0,22186.0,27858.0,491.0,6530.0,4564.0,53.0,7.0,10.0,1.0,1.0,2.0,7.0
39179,LPL,Red,LGD Gaming,0,22186.0,27858.0,491.0,28716.0,32422.0,544.0,-6530.0,-4564.0,-53.0,1.0,2.0,7.0,7.0,10.0,1.0
39814,LCK,Blue,KT Rolster,0,23458.0,30507.0,537.0,26624.0,32132.0,614.0,-3166.0,-1625.0,-77.0,1.0,1.0,1.0,1.0,1.0,1.0
39815,LCK,Red,DRX,1,26624.0,32132.0,614.0,23458.0,30507.0,537.0,3166.0,1625.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0
39874,LCK,Blue,DRX,0,23030.0,29971.0,540.0,25179.0,32336.0,595.0,-2149.0,-2365.0,-55.0,1.0,1.0,2.0,2.0,2.0,1.0
39875,LCK,Red,KT Rolster,1,25179.0,32336.0,595.0,23030.0,29971.0,540.0,2149.0,2365.0,55.0,2.0,2.0,1.0,1.0,1.0,2.0
39910,LPL,Blue,Royal Never Give Up,1,25909.0,30929.0,568.0,24103.0,31213.0,549.0,1806.0,-284.0,19.0,2.0,1.0,3.0,3.0,3.0,2.0
39911,LPL,Red,LNG Esports,0,24103.0,31213.0,549.0,25909.0,30929.0,568.0,-1806.0,284.0,-19.0,3.0,3.0,2.0,2.0,1.0,3.0
